id,ticker,symbol
12633,FTPA,FTPA
12634,FTPAW,FTPAW
17611,FTS,FTS
16500,FTV,FTV
16615,FUL,FUL
17617,FUN,FUN
17614,FVRR,FVRR
12664,FWP,FWP
12667,FXCO,FXCO
12668,FXCOR,FXCOR
12669,FXCOW,FXCOW
17514,G,G
17737,GAB,GAB
17773,GAM,GAM
12687,GATE,GATE
12688,GATEU,GATEU
12689,GATEW,GATEW
17254,GATX,GATX
12691,GBBKW,GBBKW
17946,GBL,GBL
12694,GBNY,GBNY
12695,GBRG,GBRG
17024,GBX,GBX
17887,GCI,GCI
17834,GCO,GCO
17225,GD,GD
16769,GDDY,GDDY
16969,GDO,GDO
16234,GDOT,GDOT
12710,GDST,GDST
12711,GDSTR,GDSTR
12712,GDSTU,GDSTU
12713,GDSTW,GDSTW
17369,GDV,GDV
17507,GE,GE
17689,GEF,GEF
12724,GEHCV,GEHCV
16146,GEL,GEL
12728,GENQU,GENQU
12730,GENY,GENY
16199,GEO,GEO
16690,GES,GES
12733,GET,GET
17207,GF,GF
16275,GFF,GFF
17929,GFI,GFI
16417,GFL,GFL
16647,GFY,GFY
16148,GGB,GGB
17693,GGG,GGG
17567,GGM,GGM
17148,GGT,GGT
16230,GGZ,GGZ
17002,GHC,GHC
16633,GHG,GHG
16949,GHL,GHL
16696,GHM,GHM
12746,GIACU,GIACU
16248,GIB,GIB
17733,GIL,GIL
16188,GIS,GIS
12763,GIW,GIW
12764,GIWWU,GIWWU
12765,GIWWW,GIWWW
17789,GJH,GJH
17020,GJO,GJO
16249,GJP,GJP
17387,GJR,GJR
16216,GJS,GJS
16483,GJT,GJT
17264,GJV,GJV
17787,GKOS,GKOS
17615,GL,GL
12768,GLBAV,GLBAV
12770,GLBKV,GLBKV
12771,GLBLW,GLBLW
17340,GLW,GLW
16305,GM,GM
16626,GME,GME
12791,GMFI,GMFI
12792,GMFIU,GMFIU
12793,GMFIW,GMFIW
12795,GMGT,GMGT
16875,GMS,GMS
16912,GNL,GNL
17226,GNRC,GNRC
16147,GNT,GNT
16924,GNW,GNW
12809,GODN,GODN
12810,GODNR,GODNR
12811,GODNU,GODNU
17845,GOL,GOL
17516,GPC,GPC
17558,GPI,GPI
17674,GPJA,GPJA
17108,GPK,GPK
17848,GPM,GPM
17719,GPMT,GPMT
16662,GPN,GPN
17212,GPOR,GPOR
17808,GPRK,GPRK
17068,GPS,GPS
12838,GRALV,GRALV
16233,GRC,GRC
12841,GRCL,GRCL
12848,GRNA,GRNA
12849,GRNAW,GRNAW
16921,GRUB,GRUB
16357,GS,GS
17304,GSBD,GSBD
