ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,week_52_low,week_52_high,dividend_yield,avg_volume_3mon,dvav
ASTS,ASTS,ASTS,ASTS,NASDAQ,83.56999969482422,80.86000061035156,87.48999786376953,80.86 - 87.49,10907865,10907865,-6.625698665000873,2025-10-17 17:48:29.310456+00:00,2025-10-17 17:48:29.310457+00:00,,,,,
ASTX,ASTX,ASTX,ASTX,NASDAQ,71.46099853515625,66.23999786376953,77.44499969482422,66.24 - 77.44,764042,764042,-12.714063591332106,2025-10-17 17:48:29.311617+00:00,2025-10-17 17:48:29.311619+00:00,,,,,
ASX,ASX,ASX,ASX,NASDAQ,12.654999732971191,12.545000076293945,12.869999885559082,12.55 - 12.87,4820894,4820894,0.596182907154119,2025-10-17 17:48:29.312460+00:00,2025-10-17 17:48:29.312461+00:00,,,,,
ASYS,ASYS,ASYS,ASYS,NASDAQ,7.519999980926514,7.449999809265137,7.84499979019165,7.45 - 7.84,93490,93490,-3.5897461918134885,2025-10-17 17:48:29.313230+00:00,2025-10-17 17:48:29.313231+00:00,,,,,
ATAI,ATAI,ATAI,ATAI,NASDAQ,5.994999885559082,5.380000114440918,6.010000228881836,5.38 - 6.01,20150291,20150291,9.3978077498742,2025-10-17 17:48:29.313968+00:00,2025-10-17 17:48:29.313968+00:00,,,,,
ATAT,ATAT,ATAT,ATAT,NASDAQ,37.584999084472656,36.5,37.758399963378906,36.50 - 37.76,784247,784247,0.8451800988464098,2025-10-17 17:48:29.314743+00:00,2025-10-17 17:48:29.314744+00:00,,,,,
ATCH,ATCH,ATCH,ATCH,NASDAQ,0.3718999922275543,0.3671000003814697,0.3840000033378601,0.37 - 0.38,6729489,6729489,-1.8733550730392785,2025-10-17 17:48:29.315964+00:00,2025-10-17 17:48:29.315965+00:00,,,,,
ATEC,ATEC,ATEC,ATEC,NASDAQ,14.699999809265137,14.050000190734863,14.789999961853027,14.05 - 14.79,893029,893029,3.085551005056346,2025-10-17 17:48:29.321884+00:00,2025-10-17 17:48:29.321886+00:00,,,,,
ATEN,ATEN,ATEN,ATEN,NASDAQ,17.43000030517578,17.170000076293945,17.479999542236328,17.17 - 17.48,130434,130434,1.043480030004529,2025-10-17 17:48:29.322830+00:00,2025-10-17 17:48:29.322832+00:00,,,,,
ATEST,ATEST,ATEST,ATEST,NASDAQ,24.517200469970703,24.517200469970703,24.517200469970703,24.52 - 24.52,1000,1000,,2025-10-17 17:48:29.323845+00:00,2025-10-17 17:48:29.323847+00:00,,,,,
ATEX,ATEX,ATEX,ATEX,NASDAQ,20.2450008392334,20.184999465942383,20.600000381469727,20.18 - 20.60,75537,75537,-2.5745901334639165,2025-10-17 17:48:29.328599+00:00,2025-10-17 17:48:29.328600+00:00,,,,,
ATFV,ATFV,ATFV,ATFV,NASDAQ,34.467498779296875,34.31999969482422,34.86000061035156,34.32 - 34.86,20844,20844,-1.0975601479818007,2025-10-17 17:48:29.329946+00:00,2025-10-17 17:48:29.329948+00:00,,,,,
ATGE,ATGE,ATGE,ATGE,NASDAQ,150.39430236816406,144.3000030517578,150.875,144.30 - 150.88,89200,89200,1.8931545725606045,2025-10-17 17:48:29.330861+00:00,2025-10-17 17:48:29.330863+00:00,,,,,
ATGL,ATGL,ATGL,ATGL,NASDAQ,21.17300033569336,21.17300033569336,22.25,21.17 - 22.25,582,582,-2.4285733120624413,2025-10-17 17:48:29.331929+00:00,2025-10-17 17:48:29.331930+00:00,,,,,
ATHA,ATHA,ATHA,ATHA,NASDAQ,3.6700000762939453,3.640000104904175,3.700000047683716,3.64 - 3.70,18542,18542,0.273223776741721,2025-10-17 17:48:29.332986+00:00,2025-10-17 17:48:29.332988+00:00,,,,,
