ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,dividend_yield
ARBK,ARBK,ARBK,ARBK,NASDAQ,0.3930000066757202,0.38499999046325684,0.4490000009536743,0.38 - 0.45,4134100,4134100,-14.935065772820643,2025-10-30 12:46:52.958276+00:00,2025-10-30 12:46:52.958279+00:00,0.0
ARBKL,ARBKL,ARBKL,ARBKL,NASDAQ,1.9900000095367432,1.8600000143051147,1.9900000095367432,1.86 - 1.99,6100,6100,1.015227443454557,2025-10-30 12:46:52.959712+00:00,2025-10-30 12:46:52.959715+00:00,82.46231116260206
ARCB,ARCB,ARCB,ARCB,NASDAQ,72.30999755859375,71.44000244140625,75.37999725341797,71.44 - 75.38,331300,331300,-1.4313018579905115,2025-10-30 12:46:52.961209+00:00,2025-10-30 12:46:52.961211+00:00,0.663808624265337
ARCC,ARCC,ARCC,ARCC,NASDAQ,20.610000610351562,20.3799991607666,20.84000015258789,20.38 - 20.84,4436300,4436300,0.1944624021429067,2025-10-30 12:46:52.962644+00:00,2025-10-30 12:46:52.962646+00:00,9.315865808541812
ARCT,ARCT,ARCT,ARCT,NASDAQ,9.4399995803833,9.359999656677246,9.9399995803833,9.36 - 9.94,1264100,1264100,-4.45344664940336,2025-10-30 12:46:52.968273+00:00,2025-10-30 12:46:52.968276+00:00,0.0
ARDX,ARDX,ARDX,ARDX,NASDAQ,4.960000038146973,4.909999847412109,5.110000133514404,4.91 - 5.11,4578600,4578600,-2.935422533233263,2025-10-30 12:46:52.969860+00:00,2025-10-30 12:46:52.969862+00:00,0.0
AREB,AREB,AREB,AREB,NASDAQ,1.4600000381469727,1.440000057220459,1.840000033378601,1.44 - 1.84,2903600,2903600,-4.575159121030156,2025-10-30 12:46:52.975070+00:00,2025-10-30 12:46:52.975073+00:00,0.0
AREC,AREC,AREC,AREC,NASDAQ,3.7799999713897705,3.390000104904175,4.0,3.39 - 4.00,12958400,12958400,9.565215047681297,2025-10-30 12:46:52.984504+00:00,2025-10-30 12:46:52.984509+00:00,0.0
ARGX,ARGX,ARGX,ARGX,NASDAQ,821.969970703125,821.3599853515625,842.1849975585938,821.36 - 842.18,511600,511600,-1.724081312875755,2025-10-30 12:46:52.986583+00:00,2025-10-30 12:46:52.986587+00:00,0.0
ARHS,ARHS,ARHS,ARHS,NASDAQ,10.170000076293945,10.100000381469727,10.699999809265137,10.10 - 10.70,1485700,1485700,-4.7752829055133805,2025-10-30 12:46:52.991752+00:00,2025-10-30 12:46:52.991756+00:00,0.0
ARKO,ARKO,ARKO,ARKO,NASDAQ,4.389999866485596,4.340000152587891,4.46999979019165,4.34 - 4.47,424300,424300,-0.2272779242065186,2025-10-30 12:46:52.993904+00:00,2025-10-30 12:46:52.993908+00:00,2.7334852767561864
ARLP,ARLP,ARLP,ARLP,NASDAQ,24.1200008392334,24.049999237060547,24.459999084472656,24.05 - 24.46,171300,171300,-0.7815657378979667,2025-10-30 12:46:52.997697+00:00,2025-10-30 12:46:52.997700+00:00,11.194029461260223
ARM,ARM,ARM,ARM,NASDAQ,170.38999938964844,169.3699951171875,177.25,169.37 - 177.25,3092000,3092000,-1.5598804121362957,2025-10-30 12:46:53.003043+00:00,2025-10-30 12:46:53.003047+00:00,0.0
ARQ,ARQ,ARQ,ARQ,NASDAQ,6.659999847412109,6.630000114440918,6.949999809265137,6.63 - 6.95,130400,130400,-3.056769165140718,2025-10-30 12:46:53.004700+00:00,2025-10-30 12:46:53.004702+00:00,0.0
ARQQ,ARQQ,ARQQ,ARQQ,NASDAQ,45.369998931884766,41.79999923706055,46.650001525878906,41.80 - 46.65,651600,651600,5.536164597569863,2025-10-30 12:46:53.006524+00:00,2025-10-30 12:46:53.006527+00:00,0.0
