ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,avg_volume_3mon,dvav,market_cap,shares_available,pe_ratio,dividend_yield,one_year_target,week_52_low,week_52_high,earnings_per_share,book_value,price_to_book,bid_price,ask_price,bid_ask_spread,price_change_today,price_change_week,price_change_month,price_change_year,change_percent,market_cap_change_3mon,pe_change_3mon,last_updated,created_at
ALYAF,ALYAF,ALYAF,ALYAF,NASDAQ,1.3200000524520874,1.3200000524520874,1.350000023841858,1.32 - 1.35,300,300,,,,,,,,,,,,,,,,,,,,-3.6496315432303783,,,2025-10-17 17:07:08.546141+00:00,2025-10-17 17:07:08.546145+00:00
AMBP,AMBP,AMBP,AMBP,NASDAQ,3.755000114440918,3.75,3.809999942779541,3.75 - 3.81,209547,209547,,,,,,,,,,,,,,,,,,,,-0.9234788328334721,,,2025-10-17 17:07:08.552426+00:00,2025-10-17 17:07:08.552428+00:00
AMDY,AMDY,AMDY,AMDY,NASDAQ,9.501399993896484,9.335000038146973,9.614999771118164,9.34 - 9.61,1699732,1699732,,,,,,,,,,,,,,,,,,,,-0.6129751375321004,,,2025-10-17 17:07:08.555051+00:00,2025-10-17 17:07:08.555053+00:00
AMLP,AMLP,AMLP,AMLP,NASDAQ,45.44900131225586,45.224998474121094,45.54779815673828,45.22 - 45.55,570921,570921,,,,,,,,,,,,,,,,,,,,-0.0021990113681333873,,,2025-10-17 17:07:08.562872+00:00,2025-10-17 17:07:08.562877+00:00
AMOD,AMOD,AMOD,AMOD,NASDAQ,1.0499000549316406,1.0499000549316406,1.090000033378601,1.05 - 1.09,19369,19369,,,,,,,,,,,,,,,,,,,,-4.554542529484521,,,2025-10-17 17:07:08.580091+00:00,2025-10-17 17:07:08.580095+00:00
AMRN,AMRN,AMRN,AMRN,NASDAQ,19.983699798583984,19.25,20.25629997253418,19.25 - 20.26,39212,39212,,,,,,,,,,,,,,,,,,,,-0.4299945069879097,,,2025-10-17 17:07:08.583703+00:00,2025-10-17 17:07:08.583707+00:00
AMRZ,AMRZ,AMRZ,AMRZ,NASDAQ,48.09000015258789,47.84000015258789,48.5,47.84 - 48.50,2497602,2497602,,,,,,,,,,,,,,,,,,,,-0.5171700438784881,,,2025-10-17 17:07:08.586533+00:00,2025-10-17 17:07:08.586538+00:00
AMX,AMX,AMX,AMX,NASDAQ,22.350000381469727,22.209999084472656,22.635000228881836,22.21 - 22.64,623409,623409,,,,,,,,,,,,,,,,,,,,-0.8869129151105493,,,2025-10-17 17:07:08.588427+00:00,2025-10-17 17:07:08.588430+00:00
AMZD,AMZD,AMZD,AMZD,NASDAQ,11.149999618530273,11.024999618530273,11.210000038146973,11.02 - 11.21,708926,708926,,,,,,,,,,,,,,,,,,,,1.060451610990429,,,2025-10-17 17:07:08.591734+00:00,2025-10-17 17:07:08.591737+00:00
ANEW,ANEW,ANEW,ANEW,NASDAQ,51.259700775146484,51.259700775146484,51.259700775146484,51.26 - 51.26,141,141,,,,,,,,,,,,,,,,,,,,-0.000580465073081669,,,2025-10-17 17:07:08.592253+00:00,2025-10-17 17:07:08.592256+00:00
ANF,ANF,ANF,ANF,NASDAQ,68.33000183105469,68.16999816894531,69.80349731445312,68.17 - 69.80,628219,628219,,,,,,,,,,,,,,,,,,,,-1.0713737759361583,,,2025-10-17 17:07:08.592622+00:00,2025-10-17 17:07:08.592624+00:00
ANL,ANL,ANL,ANL,NASDAQ,1.6549999713897705,1.600000023841858,1.7300000190734863,1.60 - 1.73,6638,6638,,,,,,,,,,,,,,,,,,,,2.7950283655170027,,,2025-10-17 17:07:08.596081+00:00,2025-10-17 17:07:08.596084+00:00
AOCT,AOCT,AOCT,AOCT,NASDAQ,26.219999313354492,26.15999984741211,26.314300537109375,26.16 - 26.31,5572,5572,,,,,,,,,,,,,,,,,,,,0.0,,,2025-10-17 17:07:08.598897+00:00,2025-10-17 17:07:08.598900+00:00
