ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,avg_volume_3mon,dvav,week_52_low,week_52_high,dividend_yield
ADFI,ADFI,ADFI,ADFI,NASDAQ,8.649999618530273,8.630000114440918,8.649999618530273,8.63 - 8.65,26479,26479,-0.09240441034167161,2025-10-17 17:42:15.588080+00:00,2025-10-17 17:42:15.588082+00:00,,,7.940000057220459,8.6899995803833,3.2254336682549485
ADGM,ADGM,ADGM,ADGM,NASDAQ,1.399999976158142,1.3300000429153442,1.479599952697754,1.33 - 1.48,78115,78115,-5.405408235428679,2025-10-17 17:42:15.588623+00:00,2025-10-17 17:42:15.588624+00:00,,,,,
ADIL,ADIL,ADIL,ADIL,NASDAQ,0.3617999851703644,0.3517000079154968,0.3799000084400177,0.35 - 0.38,195219,195219,-2.2162214844133854,2025-10-17 17:42:15.589047+00:00,2025-10-17 17:42:15.589047+00:00,,,,,
ADM,ADM,ADM,ADM,NASDAQ,62.939998626708984,61.86000061035156,63.35200119018555,61.86 - 63.35,1203610,1203610,0.0635883940537301,2025-10-17 17:42:15.589633+00:00,2025-10-17 17:42:15.589634+00:00,,,,,
ADMA,ADMA,ADMA,ADMA,NASDAQ,14.375,14.300000190734863,14.600000381469727,14.30 - 14.60,907462,907462,-1.2706072409685374,2025-10-17 17:42:15.590049+00:00,2025-10-17 17:42:15.590049+00:00,,,,,
ADN,ADN,ADN,ADN,NASDAQ,3.2249999046325684,3.2000999450683594,3.4700000286102295,3.20 - 3.47,38278,38278,-6.791911298366929,2025-10-17 17:42:15.590623+00:00,2025-10-17 17:42:15.590624+00:00,,,,,
ADNT,ADNT,ADNT,ADNT,NASDAQ,22.860000610351562,22.55500030517578,23.139999389648438,22.56 - 23.14,299768,299768,-0.9532032672518568,2025-10-17 17:42:15.591029+00:00,2025-10-17 17:42:15.591029+00:00,,,,,
ADPV,ADPV,ADPV,ADPV,NASDAQ,43.52000045776367,43.350101470947266,43.9900016784668,43.35 - 43.99,65726,65726,-2.037138536497487,2025-10-17 17:42:15.591585+00:00,2025-10-17 17:42:15.591586+00:00,,,,,
ADSE,ADSE,ADSE,ADSE,NASDAQ,10.010000228881836,9.800000190734863,10.300000190734863,9.80 - 10.30,18161,18161,-3.191488576752704,2025-10-17 17:42:15.592013+00:00,2025-10-17 17:42:15.592014+00:00,,,7.889999866485596,16.350000381469727,0.0
ADTN,ADTN,ADTN,ADTN,NASDAQ,9.128700256347656,9.029999732971191,9.399999618530273,9.03 - 9.40,465434,465434,-2.9893687101579998,2025-10-17 17:42:15.592586+00:00,2025-10-17 17:42:15.592587+00:00,,,,,
ADUS,ADUS,ADUS,ADUS,NASDAQ,118.5199966430664,113.62000274658203,119.56500244140625,113.62 - 119.57,76488,76488,1.1867151218667649,2025-10-17 17:42:15.593202+00:00,2025-10-17 17:42:15.593203+00:00,,,,,
ADV,ADV,ADV,ADV,NASDAQ,1.3834999799728394,1.375,1.4470000267028809,1.38 - 1.45,161375,161375,-3.9236163196186364,2025-10-17 17:42:15.593637+00:00,2025-10-17 17:42:15.593638+00:00,,,,,
ADVB,ADVB,ADVB,ADVB,NASDAQ,0.42879998683929443,0.39070001244544983,0.4366999864578247,0.39 - 0.44,341962,341962,6.138606908192842,2025-10-17 17:42:15.594094+00:00,2025-10-17 17:42:15.594095+00:00,,,,,
ADVE,ADVE,ADVE,ADVE,NASDAQ,38.687599182128906,38.67359924316406,38.687599182128906,38.67 - 38.69,2,2,-0.0010353164178406908,2025-10-17 17:42:15.594515+00:00,2025-10-17 17:42:15.594515+00:00,,,27.030000686645508,39.45000076293945,4.91371922835195
ADVM,ADVM,ADVM,ADVM,NASDAQ,4.315000057220459,4.2600998878479,4.6184000968933105,4.26 - 4.62,58115,58115,-5.372804575294418,2025-10-17 17:42:15.594909+00:00,2025-10-17 17:42:15.594909+00:00,,,,,
ADX,ADX,ADX,ADX,NASDAQ,22.5,22.422100067138672,22.729900360107422,22.42 - 22.73,192491,192491,-0.04442571648224586,2025-10-17 17:42:15.595312+00:00,2025-10-17 17:42:15.595313+00:00,233650.0,0.8238433554461801,16.5,22.799999237060547,14.888888888888888
AEBI,AEBI,AEBI,AEBI,NASDAQ,11.359999656677246,11.204999923706055,11.470000267028809,11.20 - 11.47,37790,37790,-0.35087687010102087,2025-10-17 17:42:15.595855+00:00,2025-10-17 17:42:15.595855+00:00,,,,,
AEE,AEE,AEE,AEE,NASDAQ,104.76000213623047,104.63999938964844,105.81999969482422,104.64 - 105.82,448389,448389,-0.427713099665448,2025-10-17 17:42:15.596653+00:00,2025-10-17 17:42:15.596654+00:00,,,,,
AEFC,AEFC,AEFC,AEFC,NASDAQ,20.33810043334961,20.25,20.399999618530273,20.25 - 20.40,14338,14338,-0.009339819193853573,2025-10-17 17:42:15.597196+00:00,2025-10-17 17:42:15.597196+00:00,,,,,
AEHL,AEHL,AEHL,AEHL,NASDAQ,3.0,2.950000047683716,3.799999952316284,2.95 - 3.80,160124,160124,-13.04347946272754,2025-10-17 17:42:15.597860+00:00,2025-10-17 17:42:15.597861+00:00,,,,,
AEIS,AEIS,AEIS,AEIS,NASDAQ,192.5449981689453,189.49000549316406,195.22500610351562,189.49 - 195.23,281618,281618,0.1690755104454674,2025-10-17 17:42:15.598425+00:00,2025-10-17 17:42:15.598426+00:00,,,,,
AEM,AEM,AEM,AEM,NASDAQ,172.42999267578125,170.42999267578125,182.08999633789062,170.43 - 182.09,2607859,2607859,-7.055849124202937,2025-10-17 17:42:15.598823+00:00,2025-10-17 17:42:15.598824+00:00,,,75.16999816894531,187.5,0.9279128156135038
AEMS,AEMS,AEMS,AEMS,NASDAQ,10.715200424194336,10.699999809265137,10.720000267028809,10.70 - 10.72,32887,32887,-0.32371698423873546,2025-10-17 17:42:15.599367+00:00,2025-10-17 17:42:15.599368+00:00,,,,,
AENT,AENT,AENT,AENT,NASDAQ,5.804999828338623,5.710000038146973,5.929999828338623,5.71 - 5.93,24828,24828,-3.0884799640819813,2025-10-17 17:42:15.599770+00:00,2025-10-17 17:42:15.599771+00:00,,,2.2100000381469727,11.571999549865723,0.0
AEO,AEO,AEO,AEO,NASDAQ,14.914999961853027,14.699999809265137,15.140000343322754,14.70 - 15.14,2484603,2484603,0.10067344769659485,2025-10-17 17:42:15.600198+00:00,2025-10-17 17:42:15.600199+00:00,,,,,
AEON,AEON,AEON,AEON,NASDAQ,1.1349999904632568,1.1200000047683716,1.4144999980926514,1.12 - 1.41,562044,562044,-18.928570729129156,2025-10-17 17:42:15.600704+00:00,2025-10-17 17:42:15.600705+00:00,,,,,
AEP,AEP,AEP,AEP,NASDAQ,117.31999969482422,116.76010131835938,118.19499969482422,116.76 - 118.19,1083184,1083184,-0.1786770072779478,2025-10-17 17:42:15.601152+00:00,2025-10-17 17:42:15.601152+00:00,,,,,
AES,AES,AES,AES,NASDAQ,14.555000305175781,14.460000038146973,14.710000038146973,14.46 - 14.71,3921706,3921706,-1.7881200749348645,2025-10-17 17:42:15.602034+00:00,2025-10-17 17:42:15.602035+00:00,,,,,
AESI,AESI,AESI,AESI,NASDAQ,10.130200386047363,10.034799575805664,10.375,10.03 - 10.38,1069647,1069647,-1.1687767214891387,2025-10-17 17:42:15.602495+00:00,2025-10-17 17:42:15.602496+00:00,,,,,
AETH,AETH,AETH,AETH,NASDAQ,42.996299743652344,42.88999938964844,42.88999938964844,42.89 - 42.89,521,521,0.0007009049570216615,2025-10-17 17:42:15.602970+00:00,2025-10-17 17:42:15.602971+00:00,,,,,
AEVA,AEVA,AEVA,AEVA,NASDAQ,16.565000534057617,16.174999237060547,16.989999771118164,16.17 - 16.99,1058738,1058738,-3.2700698741161043,2025-10-17 17:42:15.603705+00:00,2025-10-17 17:42:15.603706+00:00,,,2.5199999809265137,38.79999923706055,0.0
AFB,AFB,AFB,AFB,NASDAQ,10.920000076293945,10.885000228881836,10.979999542236328,10.89 - 10.98,42456,42456,-0.1828108304978084,2025-10-17 17:42:15.608718+00:00,2025-10-17 17:42:15.608720+00:00,,,,,
AFBI,AFBI,AFBI,AFBI,NASDAQ,18.510000228881836,18.350000381469727,18.600000381469727,18.35 - 18.60,1215,1215,-0.856989002454626,2025-10-17 17:42:15.610794+00:00,2025-10-17 17:42:15.610796+00:00,,,17.0,22.5,8.103727614543702
AFCG,AFCG,AFCG,AFCG,NASDAQ,3.4047999382019043,3.3499999046325684,3.494999885559082,3.35 - 3.49,94383,94383,-0.7346976112196584,2025-10-17 17:42:15.612133+00:00,2025-10-17 17:42:15.612135+00:00,,,,,
AFGB,AFGB,AFGB,AFGB,NASDAQ,22.3799991607666,22.3799991607666,22.510000228881836,22.38 - 22.51,3882,3882,-0.6216753736734738,2025-10-17 17:42:15.612883+00:00,2025-10-17 17:42:15.612884+00:00,,,20.47800064086914,25.0,6.559428306742239
AFGC,AFGC,AFGC,AFGC,NASDAQ,19.866600036621094,19.700000762939453,19.8700008392334,19.70 - 19.87,5320,5320,1.1022922254235699,2025-10-17 17:42:15.613376+00:00,2025-10-17 17:42:15.613377+00:00,,,,,
AFGD,AFGD,AFGD,AFGD,NASDAQ,21.81999969482422,21.81999969482422,21.81999969482422,21.82 - 21.82,727,727,-0.27422060440463303,2025-10-17 17:42:15.613851+00:00,2025-10-17 17:42:15.613852+00:00,,,,,
AFGE,AFGE,AFGE,AFGE,NASDAQ,18.049999237060547,18.049999237060547,18.049999237060547,18.05 - 18.05,1539,1539,0.22209332409983154,2025-10-17 17:42:15.614278+00:00,2025-10-17 17:42:15.614279+00:00,,,16.110000610351562,20.7549991607666,6.227147077614194
AFIF,AFIF,AFIF,AFIF,NASDAQ,9.390000343322754,9.390000343322754,9.420000076293945,9.39 - 9.42,11129,11129,0.0,2025-10-17 17:42:15.614685+00:00,2025-10-17 17:42:15.614686+00:00,,,,,
AFIX,AFIX,AFIX,AFIX,NASDAQ,25.534900665283203,25.510000228881836,25.530000686645508,25.51 - 25.53,3901,3901,-0.00038841640688829605,2025-10-17 17:42:15.615092+00:00,2025-10-17 17:42:15.615093+00:00,,,,,
AFK,AFK,AFK,AFK,NASDAQ,24.329999923706055,24.16010093688965,24.690000534057617,24.16 - 24.69,36912,36912,-1.8159836580713598,2025-10-17 17:42:15.615929+00:00,2025-10-17 17:42:15.615930+00:00,,,,,
AFLG,AFLG,AFLG,AFLG,NASDAQ,38.349998474121094,38.273799896240234,38.461700439453125,38.27 - 38.46,22995,22995,0.03651904084878609,2025-10-17 17:42:15.616519+00:00,2025-10-17 17:42:15.616519+00:00,,,29.110000610351562,39.22999954223633,0.6962190629034155
AFMC,AFMC,AFMC,AFMC,NASDAQ,33.400001525878906,33.33539962768555,33.63999938964844,33.34 - 33.64,6182,6182,-0.2836166861776755,2025-10-17 17:42:15.616963+00:00,2025-10-17 17:42:15.616964+00:00,,,,,
AFRI,AFRI,AFRI,AFRI,NASDAQ,8.623200416564941,8.623200416564941,8.623200416564941,8.62 - 8.62,813,813,-0.07879139960378866,2025-10-17 17:42:15.617910+00:00,2025-10-17 17:42:15.617911+00:00,,,,,
AFSM,AFSM,AFSM,AFSM,NASDAQ,31.71500015258789,31.71500015258789,31.75,31.72 - 31.75,2114,2114,-0.16997371234151082,2025-10-17 17:42:15.618797+00:00,2025-10-17 17:42:15.618798+00:00,,,24.41900062561035,33.52000045776367,0.6716064921179563
AFYA,AFYA,AFYA,AFYA,NASDAQ,14.850000381469727,14.75,14.90999984741211,14.75 - 14.91,31733,31733,0.5416379229968384,2025-10-17 17:42:15.619697+00:00,2025-10-17 17:42:15.619698+00:00,,,,,
AGCO,AGCO,AGCO,AGCO,NASDAQ,107.46499633789062,107.18000030517578,109.69000244140625,107.18 - 109.69,259078,259078,-1.3358445239760661,2025-10-17 17:42:15.620500+00:00,2025-10-17 17:42:15.620501+00:00,,,,,
AGD,AGD,AGD,AGD,NASDAQ,11.350000381469727,11.279999732971191,11.39799976348877,11.28 - 11.40,92767,92767,0.4424795565566416,2025-10-17 17:42:15.620949+00:00,2025-10-17 17:42:15.620950+00:00,,,,,
